nam_san_xuat,gia_xe,ty_le_tra_truoc,so_tien_tra_truoc,so_tien_vay_goc,ty_le_bao_hiem,so_tien_bao_hiem_y,tong_khoan_vay,is_nguoi_phu_thuoc,is_no_vay_khac,is_thu_nhap_khac,suggested_monthly_payment,chi_phi_sinh_hoat_hang_thang,diem_DTI,ky_han_vay,ky_han_giai_doan_1,ma_muc_dich_vay,check_cic,thu_nhap_thang,thu_nhap_khac,total_current_outstanding_balance,dti_reality,so_nguoi_phu_thuoc,highest_debt_group,system_code,status_y,group_owner,bank_province,is_required,ma_nha_cung_cap,ty_le_so_tien_duoc_bao_hiem,lai_suat_giai_doan_1,nam_cu_tru,gioiTinh,title_code,TARGET,current_address_district_code,current_address_provinces_code,district_code,province_code,addressProvincesCode,addressDistrictCode,ma_nghe_nghiep,X_HaveCIC,phi_bao_hiem,ma_chu_ky_bao_hiem,bank_branch_name,dealer_code,ma_trinh_do_hoc_van,mau_sac,ma_nhan_hieu,current_address_wards_code,nghi_ngo_lua_dao,y_kien_tham_dinh,thang_cu_tru,ma_tt_noi_cu_tru,promotion_code,income_adjusted_by_adecco,is_delay_payment,homeTownProvincesCode,homeTownDistrictCode,homeTownWardsCode,addressWardsCode,ward_code,X_AGE,X_APP_DATE_TO_NATIONALID_DATE,X_PER_ADD_DISTRICT_CODE,X_PER_ADD_PROVINCE_CODE,X_D_BANK_CODE,X_EffectiveDayToApplicationDate,X_ExpirationDateToApplicationDate,X_IsPhoneInvalid,X_MaritalStatus,X_CreditAnnuityRatio,X_CreditDownPayment,X_CreditGoodsPriceRatio,X_CreditIncomeRatio,X_AnnuityIncomeRatio,X_OverExpectCredit,X_IncomeDependentRatio,X_AdeccoIncomeRatio,X_TotalCurrentBalance,X_TotalCurrentBalanceIncomeRatio,X_IsOtherNonClosedLoan,X_JobTenure,X_JobTenureIncomeRatio,X_NO_APP_SUBMITTED,X_NO_APP_APPROVED,X_MAX_OVER_DUE_DAY,X_AVG_DAY_PAST_DUE,X_NUM_PAID,X_1_OR_MORE_DAY_PAID,X_4_OR_MORE_DAY_PAID,X_DIFF_INCOME,X_IS_PROFESSION_CHANGED,X_4_OrMoreDayPaidRatio,X_1_OrMoreDayPaidRatio,X_NumPaid_TotalLoanTerm_Ratio,X_ApprovedSubmitedRatio,X_IsZeroThuNhapKhac,X_IsZeroChiPhiSinhHoatHangThang,X_DistanceCurrentToDealer,X_DistancePermanentToDealer,X_DistanceCurrentToPermanent,ISNULL_total_current_outstanding_balance,ISNULL_so_tien_bao_hiem_y,ISNULL_ty_le_so_tien_duoc_bao_hiem,ISNULL_ty_le_bao_hiem,ISNULL_highest_debt_group,ISNULL_so_nguoi_phu_thuoc,ISNULL_phi_bao_hiem,X_MaritalStatus_Age,X_Gender,X_Gender_Age,X_MaritalStatus_Gender,X_MaritalStatus_Age_Gender
,99000000.0,41.9192,41500000.0,57500000.0,0.25,57500000.0,60950000.0,0.0,1.0,1.0,3412361.0,3200000.0,22.04,24.0,24.0,1.0,1,30000000.0,10000000.0,3200000.0,22.04,0.0,,MB00029,0.0,03.Dong Nai 2,,1.0,GIC,100.0,29.76,30.0,male,1.0,1,741.0,75.0,741.0,75.0,75.0,741.0,NN26,2,3450000.0,month,,3026.0,HV5,,,,,,,,,,,,,,,,31.00342231348392,71.0,741.0,75.0,,,,1,1.0,17.86153340751462,38050000.0,0.6156565656565657,1.52375,0.085309025,0.0,40000000.0,,64150000.0,1.60375,1,0.0,2.4999999999374998e-11,0,0,,,,,,,,,,,,False,False,0.0,0.0,0.0,0,0,0,0,1,0,0,31.00342231348392,1,31.00342231348392,1.0,31.00342231348392
,34000000.0,44.4118,15100000.0,18900000.0,0.25,18900000.0,19325250.0,0.0,0.0,0.0,2727924.0,,23.93,9.0,9.0,1.0,1,12000000.0,,500000.0,28.32,0.0,,dummy,0.0,14.Soc Trang,,1.0,GIC,100.0,59.7079,2.0,male,10.0,0,777.0,79.0,941.0,94.0,79.0,777.0,NN28,2,425250.0,month,,4903.0,HV6,,,,,,,,,,,,,,,,51.38945927446954,1077.0,945.0,94.0,,,,1,0.0,7.08423328509152,14674750.0,0.5683897058823529,1.6104375,0.227327,0.0,12000000.0,,19825250.0,1.6521041666666667,1,2.108145106091718,1.7576209215966298e-07,0,0,,,,,,,,,,,,True,True,146.0051866150053,22.803219164887988,136.02489723570503,0,0,0,0,1,0,0,0.0,1,51.38945927446954,0.0,0.0
,40000000.0,22.5,9000000.0,31000000.0,,,31930000.0,0.0,0.0,0.0,3449286.0,,23.0,12.0,12.0,1.0,1,15000000.0,,300000.0,26.78,0.0,,dummy,1.0,01.HCM 2,,,,,50.1266,5.0,male,10.0,1,777.0,79.0,777.0,79.0,79.0,777.0,NN26,2,930000.0,,,1123.0,HV1,,,,,,,,,,,,,,,,33.72758384668035,1281.0,680.0,68.0,,,,1,1.0,9.256988257859742,8070000.0,0.79825,2.1286666666666667,0.2299524,0.0,15000000.0,,32230000.0,2.1486666666666667,1,4.213552361396304,2.809701574076889e-07,0,0,,,,,,,,,,,,True,True,0.0,163.3427402939879,163.3427402939879,0,1,1,1,1,0,0,33.72758384668035,1,33.72758384668035,1.0,33.72758384668035
,38200000.0,26.7016,10200000.0,28000000.0,,,29680000.0,1.0,0.0,0.0,1994096.0,,26.08,24.0,24.0,1.0,1,18000000.0,,,26.08,3.0,,MB00005,0.0,01.HCM 3,,,,,50.1266,25.0,male,1.0,1,760.0,79.0,773.0,79.0,79.0,760.0,NN65,2,1680000.0,,,1029.0,HV5,,,,,,,,,,,,,,,,26.77344284736482,4280.0,760.0,79.0,,,,1,1.0,14.883937383155072,8520000.0,0.7769633507853403,1.6488888888888888,0.1107831111111111,0.0,4500000.0,,,,0,16.0,8.889444443950588e-07,0,0,,,,,,,,,,,,True,True,2.7218806183945734,2.7218806183945734,0.0,1,1,1,1,1,0,0,26.77344284736482,1,26.77344284736482,1.0,26.77344284736482
,37290000.0,53.6337,20000000.0,17290000.0,,,18016180.0,0.0,0.0,0.0,2006322.0,,33.44,12.0,12.0,1.0,1,6000000.0,,,33.44,0.0,,MB00043,0.0,13.Hau Giang,92.0,,,,55.9656,27.0,female,9.0,0,933.0,93.0,933.0,93.0,93.0,932.0,CN002,2,726180.0,,VIETINBANK CN CAN THO,4701.0,HV6,,,,,,,,,,,,,,,,27.863107460643395,54.0,933.0,93.0,VIETINBANK,,,1,0.0,8.979705152014482,19273820.0,0.483137034057388,3.0026966666666666,0.334387,0.0,6000000.0,,,,0,0.4271047227926078,7.13507871202095e-08,0,0,,,,,,,,,,,,True,True,0.0,0.0,0.0,1,1,1,1,1,0,0,0.0,0,0.0,0.0,0.0
,57000000.0,21.0526,12000000.0,45000000.0,0.35,45000000.0,48780000.0,1.0,0.0,1.0,2537279.0,,21.92,24.0,24.0,1.0,1,15000000.0,7000000.0,,21.92,1.0,0.0,MB00144,0.0,44.Gia Lai,,1.0,GIC,140.0,21.7783,25.0,male,10.0,1,624.0,64.0,624.0,64.0,64.0,624.0,NN26,2,3780000.0,month,,6633.0,HV5,,,,,,,,,,,,,,,,39.91786447638604,285.0,624.0,64.0,,,,1,1.0,19.225319722427056,8220000.0,0.8557894736842105,2.2172727272727277,0.1153308636363636,0.0,11000000.0,,,,0,12.0,5.454999999752046e-07,0,0,,,,,,,,,,,,False,True,0.0,0.0,0.0,1,0,0,0,0,0,0,39.91786447638604,1,39.91786447638604,1.0,39.91786447638604
,17564727.0,51.0382,8964727.0,8600000.0,,,8600000.0,0.0,0.0,0.0,872896.0,,10.91,12.0,12.0,1.0,1,8000000.0,,,10.91,0.0,0.0,MB00073,1.0,17.Binh Phuoc 1,66.0,,,,35.2833,5.0,male,9.0,0,698.0,70.0,698.0,70.0,70.0,698.0,NN65,2,0.0,,DONG DAKLAK,4152.0,HV5,,,,,,,,,,,,,,,,51.34839151266256,316.0,698.0,70.0,BIDV,,,1,0.0,9.852261896033433,8964727.0,0.4896176296961518,1.075,0.109112,0.0,8000000.0,,,,0,17.11978097193703,2.1400976212246164e-06,0,0,,,,,,,,,,,,True,True,0.0,0.0,0.0,1,1,1,1,0,0,0,0.0,1,51.34839151266256,0.0,0.0
,120200000.0,58.4027,70200000.0,50000000.0,,,51575000.0,0.0,0.0,0.0,6473284.0,,10.79,9.0,9.0,1.0,1,55000000.0,,,10.79,0.0,0.0,MB00059,0.0,12.An Giang 3,89.0,,,,29.64,33.0,male,1.0,0,889.0,89.0,884.0,89.0,89.0,889.0,NN26,2,1575000.0,,BAC AN GIANG,5763.0,HV6,,,,,,,,,,,,,,,,33.35797399041752,241.0,889.0,89.0,BIDV,,,1,1.0,7.967362470115632,68625000.0,0.4290765391014975,0.9377272727272729,0.1176960727272727,0.0,55000000.0,,,,0,10.877481177275838,1.977905668559645e-07,0,0,,,,,,,,,,,,True,True,21.20337373960352,21.20337373960352,0.0,1,1,1,1,0,0,0,33.35797399041752,1,33.35797399041752,1.0,33.35797399041752
,73000000.0,68.4932,50000000.0,23000000.0,,,24552500.0,0.0,0.0,0.0,2247730.0,,22.48,15.0,15.0,1.0,1,10000000.0,,,22.48,0.0,0.0,MB00033,0.0,04.Ba Ria-Vung Tau,,,,,50.1266,27.0,female,9.0,1,754.0,77.0,754.0,77.0,77.0,754.0,NN66,2,1552500.0,,,4011.0,HV5,,,,,,,,,,,,,,,,27.86858316221766,783.0,754.0,77.0,,,,1,0.0,10.92324256027192,48447500.0,0.3363356164383562,2.45525,0.224773,0.0,10000000.0,,,,0,5.908281998631074,5.909281998040146e-07,0,0,,,,,,,,,,,,True,True,0.0,0.0,0.0,1,1,1,1,0,0,0,0.0,0,0.0,0.0,0.0
,19200000.0,53.125,10200000.0,9000000.0,,,9189000.0,1.0,1.0,0.0,1543500.0,,21.87,6.0,6.0,1.0,1,13000000.0,,,21.87,2.0,0.0,dummy,0.0,38.Thanh Hoa 2,38.0,,,,0.0,40.0,male,10.0,0,390.0,38.0,390.0,38.0,38.0,390.0,ANOTHER,2,189000.0,,CAM THUY,8260.0,HV5,,,,,,,,,,,,,,,,39.75633127994524,586.0,390.0,38.0,AGRIBANK,,,1,1.0,5.9533527696793005,10011000.0,0.47859375,0.7068461538461538,0.1187307692307692,0.0,4333333.333333333,,,,0,5.560574948665297,4.278134575567296e-07,0,0,,,,,,,,,,,,True,True,0.0,0.0,0.0,1,1,1,1,0,0,0,39.75633127994524,1,39.75633127994524,1.0,39.75633127994524
